functional,year,type,hybrid ex,hybrid corr,XYG3-type
Slater,1974,LDA,,,
SVWN,1980,LDA,,,
SVWN1RPA,1980,LDA,,,
VWN1RPA,1980,LDA,exact,,
VWN5,1980,LDA,exact,,
PZ81,1981,LDA,exact,,
SPZ81,1981,LDA,,,
BP86,1986,GGA,,,
OP86,1986,GGA,,,
P86,1986,GGA,exact,,
SP86,1986,GGA,,,
BC,1988,mGGA,exact,,
Becke,1988,GGA,,,
BLYP,1988,GGA,,,
BPZ81,1988,GGA,,,
BVWN,1988,GGA,,,
BVWN1RPA,1988,GGA,,,
LYP,1988,GGA,exact,,
SLYP,1988,GGA,,,
BPW91,1991,GGA,,,
PW91,1991,GGA,,,
PW91C,1991,GGA,exact,,
PW91LYP,1991,GGA,,,
PW91P86,1991,GGA,,,
PW91PZ81,1991,GGA,,,
PW91VWN,1991,GGA,,,
PW91X,1991,GGA,,,
SPW91,1991,GGA,,,
B3LYP,1993,GGA,hybrid,,
B3LYPV1R,1993,GGA,hybrid,,
B3P86,1993,GGA,hybrid,,
B3PW91,1993,GGA,hybrid,,
BHHLYP,1993,GGA,hybrid,,
B1B95,1996,mGGA,hybrid,,
BPBE,1996,GGA,,,
PBEC,1996,GGA,exact,,
PBEP86,1996,GGA,,,
HCTH407,1997,GGA,,,
OP,1997,GGA,exact,,
PBE,1997,GGA,,,
PBELYP,1997,GGA,,,
PBEOP,1997,GGA,,,
PBEPW91,1997,GGA,,,
PBEPZ81,1997,GGA,,,
PBEVWN,1997,GGA,,,
PBEX,1997,GGA,,,
PW91PBE,1997,GGA,,,
SOP,1997,GGA,,,
SPBE,1997,GGA,,,
B97-1,1998,GGA,hybrid,,
EDF1,1998,GGA,,,
mPW1LYP,1998,GGA,hybrid,,
mPW1PBE,1998,GGA,hybrid,,
mPW1PW91,1998,GGA,hybrid,,
mPW3PBE,1998,GGA,hybrid,,
mPWPBE,1998,GGA,,,
PBEh1PBE,1998,GGA,hybrid,,
revPBE,1998,GGA,,,
PBE0,1999,GGA,hybrid,,
PKZB,1999,mGGA,,,
RPBE,1999,GGA,,,
B3LYP*,2001,GGA,hybrid,,
B97-2,2001,GGA,hybrid,,
BOP,2001,GGA,,,
O3LYP,2001,GGA,hybrid,,
OLYP,2001,GGA,,,
OPBE,2001,GGA,,,
OPTX,2001,GGA,,,
OPW91,2001,GGA,,,
OPZ81,2001,GGA,,,
OVWN,2001,GGA,,,
OVWN1RPA,2001,GGA,,,
τHCTH,2002,mGGA,,,
τHCTHhyb,2002,mGGA,hybrid,,
TPSS,2003,mGGA,,,
TPSSh,2003,mGGA,hybrid,,
B97-K,2004,GGA,hybrid,,
BMK,2004,mGGA,hybrid,,
CAM-B3LYP,2004,GGA,range-separate,,
B97-3,2005,GGA,hybrid,,
M05,2005,mGGA,hybrid,,
M05-2X,2005,mGGA,hybrid,,
MOHLYP,2005,GGA,,,
mPWLYP1w,2005,GGA,,,
PBE1KCIS,2005,mGGA,hybrid,,
PBELYP1w,2005,GGA,,,
TPSSLYP1w,2005,mGGA,,,
X3LYP,2005,GGA,hybrid,,
B2PLYP,2006,GGA,hybrid,hybrid,
HSE06,2006,GGA,range-separate,,
M06,2006,mGGA,hybrid,,
M06-2X,2006,mGGA,hybrid,,
M06-HF,2006,mGGA,exact,,
M06-L,2006,mGGA,,,
mPW2PLYP,2006,GGA,hybrid,hybrid,
TPSSm,2007,mGGA,,,
B2GP-PLYP,2008,GGA,hybrid,hybrid,
M08-HX,2008,mGGA,hybrid,,
M08-SO,2008,mGGA,hybrid,,
PBEsol,2008,GGA,,,
SOGGA,2008,GGA,,,
ωB97,2008,GGA,range-separate,,
ωB97X,2008,GGA,range-separate,,
revTPSS,2009,mGGA,,,
ωB97X-2-LP,2009,GGA,range-separate,hybrid,
ωB97X-2-TQZ,2009,GGA,range-separate,hybrid,
XYG3,2009,GGA,hybrid,hybrid,xDH
LS1DH-PBE,2011,GGA,hybrid,hybrid,
M11,2011,mGGA,range-separate,,
M11-L,2011,mGGA,,,
PBE0-DH,2011,GGA,hybrid,hybrid,
PTPSS-D3Zero,2011,mGGA,hybrid,hybrid,
PWPB95-D3Zero,2011,mGGA,hybrid,hybrid,
SOGGA11,2011,GGA,,,
SOGGA11X,2011,GGA,hybrid,,
XYGJ-OS,2011,GGA,hybrid,hybrid,xDH
APFD,2012,GGA,hybrid,,
MN12-L,2012,mGGA,,,
MN12-SX,2012,mGGA,range-separate,,
MS0,2012,mGGA,,,
N12,2012,GGA,,,
N12-SX,2012,GGA,range-separate,,
PBE0-2,2012,GGA,hybrid,hybrid,
xDH-PBE0,2012,GGA,hybrid,hybrid,xDH
DSD-BLYP-D3BJ,2013,GGA,hybrid,hybrid,
DSD-PBEB95-D3BJ,2013,mGGA,hybrid,hybrid,
DSD-PBEP86-D3BJ,2013,GGA,hybrid,hybrid,
DSD-PBEPBE-D3BJ,2013,GGA,hybrid,hybrid,
lrc-XYG3,2013,GGA,hybrid,range-separate,xDH
MS1,2013,mGGA,,,
MS2,2013,mGGA,,,
revB3LYP,2013,GGA,hybrid,,
revPBE0-DH,2013,GGA,hybrid,hybrid,
TPSS0-DH,2013,mGGA,hybrid,hybrid,
PBE-QIDH,2014,GGA,hybrid,hybrid,
TPSS-QIDH,2014,mGGA,hybrid,hybrid,
PBE-CIDH,2015,GGA,hybrid,hybrid,
TPSS-CIDH,2015,mGGA,hybrid,hybrid,
MN15,2016,mGGA,hybrid,,
MN15-L,2016,mGGA,,,
SOS0-PBE0-DH,2016,GGA,hybrid,hybrid,
SOS0-PBE-QIDH,2016,GGA,hybrid,hybrid,
revM06-L,2017,mGGA,,,
revM06,2018,mGGA,hybrid,,
RSX-QIDH,2018,GGA,range-separate,hybrid,
revM11,2019,mGGA,range-separate,,
RSCAN,2019,mGGA,,,
RSX-0DH,2019,GGA,range-separate,hybrid,
ωB2GP-PLYP,2019,GGA,range-separate,hybrid,
ωB2PLYP,2019,GGA,range-separate,hybrid,
M06-SX,2020,mGGA,range-separate,,
R2SCAN,2020,mGGA,,,
revXYG3,2021,GGA,hybrid,hybrid,xDH
revXYGJ-OS,2021,GGA,hybrid,hybrid,xDH
RS-B88-LYP,2021,GGA,range-separate,range-separate,
RS-PBE-P86,2021,GGA,range-separate,range-separate,
RS-PBE-PBE,2021,GGA,range-separate,range-separate,
RS-PW91-PW91,2021,GGA,range-separate,range-separate,
SOS-RSX-PBE0-DH,2021,GGA,range-separate,hybrid,
SOS-RSX-PBE-QIDH,2021,GGA,range-separate,hybrid,
ωB88PP86,2021,GGA,range-separate,hybrid,
ωPBEPP86,2021,GGA,range-separate,hybrid,
XYG5,2021,GGA,hybrid,hybrid,xDH
XYG6,2021,GGA,hybrid,hybrid,xDH
XYG7,2021,GGA,hybrid,hybrid,xDH
XYGJ-OS5,2021,GGA,hybrid,hybrid,xDH
CASE21,2022,GGA,hybrid,,
GAS22,2022,mGGA,range-separate,,
r++SCAN,2022,mGGA,,,
R2SCAN0,2022,mGGA,hybrid,,
R2SCAN50,2022,mGGA,hybrid,,
R4SCAN,2022,mGGA,,,
R4SCAN0,2022,mGGA,hybrid,,
