,,,hybrid,,,density maxMNAE,,,density meanMNAE,,,IP / eV,,
,year,type,exchange,correlation,XYG3-type,RHO,GRD,LR,RHO,GRD,LR,RMSE,MAE,MaxE
functional,,,,,,,,,,,,,,
CCSD,,WFT,,,,0,0,0,0,0,0,0.017,0.016,0.023
MP4(SDQ),,WFT,,,,0.246,0.233,0.162,0.077,0.067,0.061,0.222,0.219,0.270
MP3,,WFT,,,,0.881,0.967,0.718,0.339,0.254,0.149,0.481,0.469,0.621
MP2,,WFT,,,,1.414,1.512,1.114,0.590,0.406,0.232,1.005,0.973,1.335
HF,,WFT,,,,2.526,2.052,1.461,1.100,0.643,0.344,2.797,2.729,3.595
Slater,1974,LDA,,,,4.864,4.173,3.473,1.971,2.353,1.562,4.934,4.793,6.479
SVWN,1980,LDA,,,,3.725,3.983,3.349,1.591,2.100,1.402,1.885,1.718,2.882
SVWN1RPA,1980,LDA,,,,3.631,3.976,3.346,1.557,2.085,1.394,1.016,0.810,1.814
VWN1RPA,1980,LDA,exact,,,3.650,2.211,1.707,1.014,0.821,0.478,1.379,1.368,1.578
VWN5,1980,LDA,exact,,,3.540,2.203,1.694,1.020,0.808,0.469,0.410,0.348,0.627
PZ81,1981,LDA,exact,,,3.495,2.204,1.696,1.021,0.809,0.470,0.409,0.346,0.638
SPZ81,1981,LDA,,,,3.764,3.984,3.346,1.597,2.100,1.401,1.902,1.729,2.914
BP86,1986,GGA,,,,2.474,2.096,2.470,0.981,1.115,1.257,0.879,0.806,1.291
OP86,1986,GGA,,,,2.107,2.379,1.953,1.079,0.934,0.755,0.925,0.832,1.397
P86,1986,GGA,exact,,,3.650,2.294,1.659,1.220,0.830,0.467,1.471,1.355,2.169
SP86,1986,GGA,,,,3.709,3.820,3.277,1.753,2.193,1.468,3.608,3.425,5.061
BC,1988,mGGA,exact,,,3.441,2.138,1.541,1.019,0.718,0.389,1.182,1.115,1.694
Becke,1988,GGA,,,,3.716,2.001,2.426,1.163,1.186,1.319,2.212,2.179,2.713
BLYP,1988,GGA,,,,3.458,2.050,2.455,1.055,1.196,1.330,0.332,0.274,0.569
BPZ81,1988,GGA,,,,2.956,2.087,2.608,0.927,1.242,1.399,0.893,0.892,0.921
BVWN,1988,GGA,,,,2.929,2.086,2.607,0.923,1.241,1.398,0.904,0.904,0.929
BVWN1RPA,1988,GGA,,,,2.870,2.094,2.616,0.915,1.246,1.403,1.925,1.924,1.968
LYP,1988,GGA,exact,,,2.786,2.021,1.496,0.984,0.633,0.367,0.922,0.826,1.450
SLYP,1988,GGA,,,,4.428,4.180,3.497,1.824,2.301,1.526,3.048,2.889,4.334
BPW91,1991,GGA,,,,2.330,1.956,2.329,0.956,1.092,1.220,0.720,0.672,1.049
PW91,1991,GGA,,,,2.642,1.870,2.285,0.994,1.107,1.214,0.342,0.293,0.549
PW91C,1991,GGA,exact,,,3.827,2.140,1.497,1.166,0.754,0.420,1.314,1.221,1.929
PW91LYP,1991,GGA,,,,3.763,2.135,2.416,1.153,1.220,1.324,0.152,0.131,0.229
PW91P86,1991,GGA,,,,2.781,2.004,2.423,1.027,1.120,1.247,0.504,0.428,0.793
PW91PZ81,1991,GGA,,,,3.263,2.064,2.564,0.996,1.247,1.389,1.276,1.274,1.358
PW91VWN,1991,GGA,,,,3.235,2.062,2.563,0.992,1.246,1.389,1.289,1.285,1.390
PW91X,1991,GGA,,,,4.015,2.085,2.386,1.241,1.209,1.315,1.821,1.796,2.211
SPW91,1991,GGA,,,,3.500,3.988,3.474,1.736,2.300,1.560,3.454,3.292,4.818
B3LYP,1993,GGA,hybrid,,,2.123,1.712,1.906,0.919,0.938,0.978,0.456,0.376,0.776
B3LYPV1R,1993,GGA,hybrid,,,2.109,1.713,1.908,0.913,0.938,0.978,0.310,0.249,0.573
B3P86,1993,GGA,hybrid,,,1.702,1.872,1.936,0.868,0.874,0.918,0.723,0.614,1.158
B3PW91,1993,GGA,hybrid,,,1.652,1.756,1.814,0.855,0.869,0.892,0.769,0.700,1.168
BHHLYP,1993,GGA,hybrid,,,1.684,1.700,1.512,0.785,0.688,0.626,0.635,0.545,1.044
B1B95,1996,mGGA,hybrid,,,1.618,1.942,2.033,0.791,0.915,0.980,0.761,0.725,1.066
BPBE,1996,GGA,,,,2.240,1.942,2.283,0.966,1.073,1.189,0.822,0.770,1.187
PBEC,1996,GGA,exact,,,3.899,2.141,1.479,1.190,0.766,0.432,1.415,1.318,2.066
PBEP86,1996,GGA,,,,2.735,1.971,2.353,1.040,1.108,1.204,0.632,0.556,0.970
HCTH407,1997,GGA,,,,2.161,1.743,1.077,0.989,0.733,0.460,0.743,0.606,1.272
OP,1997,GGA,exact,,,3.628,2.123,1.493,1.141,0.733,0.408,1.374,1.285,1.997
PBE,1997,GGA,,,,2.493,1.826,2.170,1.014,1.081,1.142,0.572,0.520,0.865
PBELYP,1997,GGA,,,,3.707,1.992,2.348,1.166,1.212,1.283,0.140,0.122,0.242
PBEOP,1997,GGA,,,,3.141,1.871,2.298,1.046,1.159,1.247,0.428,0.407,0.613
PBEPW91,1997,GGA,,,,2.575,1.840,2.216,1.007,1.098,1.172,0.471,0.422,0.726
PBEPZ81,1997,GGA,,,,3.164,1.970,2.495,1.003,1.229,1.347,1.146,1.145,1.183
PBEVWN,1997,GGA,,,,3.135,1.969,2.494,0.998,1.228,1.346,1.158,1.157,1.212
PBEX,1997,GGA,,,,3.992,1.956,2.318,1.258,1.203,1.274,1.954,1.925,2.388
PW91PBE,1997,GGA,,,,2.554,1.856,2.239,1.001,1.088,1.183,0.442,0.392,0.688
SOP,1997,GGA,,,,3.691,4.038,3.487,1.758,2.305,1.559,3.514,3.354,4.884
SPBE,1997,GGA,,,,3.461,3.977,3.481,1.753,2.323,1.580,3.556,3.391,4.957
B97-1,1998,GGA,hybrid,,,1.721,1.962,1.942,0.848,0.887,0.896,0.756,0.704,1.111
EDF1,1998,GGA,,,,2.099,1.991,2.032,0.912,0.962,0.984,0.673,0.587,1.096
mPW1LYP,1998,GGA,hybrid,,,1.993,1.841,2.069,0.925,0.965,1.028,0.329,0.261,0.580
mPW1PBE,1998,GGA,hybrid,,,1.699,1.877,1.910,0.842,0.858,0.890,0.813,0.753,1.200
mPW1PW91,1998,GGA,hybrid,,,1.675,1.888,1.955,0.831,0.876,0.921,0.712,0.655,1.061
mPW3PBE,1998,GGA,hybrid,,,1.624,1.734,1.814,0.860,0.877,0.898,0.613,0.545,0.960
mPWPBE,1998,GGA,,,,2.385,1.916,2.288,0.973,1.085,1.197,0.606,0.557,0.903
PBEh1PBE,1998,GGA,hybrid,,,1.674,1.830,1.983,0.884,0.911,0.973,0.791,0.728,1.177
revPBE,1998,GGA,,,,2.103,2.074,2.370,0.994,1.103,1.203,0.534,0.481,0.816
PBE0,1999,GGA,hybrid,,,1.678,1.799,1.816,0.863,0.850,0.847,0.788,0.726,1.172
PKZB,1999,mGGA,,,,2.025,2.166,1.985,1.137,1.025,0.978,1.048,0.953,1.590
RPBE,1999,GGA,,,,2.140,2.153,2.452,1.014,1.140,1.239,0.311,0.257,0.513
B3LYP*,2001,GGA,hybrid,,,2.446,1.706,1.824,0.964,0.959,0.974,0.399,0.314,0.717
B97-2,2001,GGA,hybrid,,,1.912,2.018,1.596,0.864,0.731,0.613,1.138,1.069,1.646
BOP,2001,GGA,,,,2.909,1.946,2.410,0.965,1.151,1.294,0.680,0.656,0.934
O3LYP,2001,GGA,hybrid,,,1.818,1.947,1.616,0.928,0.792,0.647,0.426,0.341,0.748
OLYP,2001,GGA,,,,1.902,2.119,1.854,1.008,0.912,0.783,0.400,0.320,0.691
OPBE,2001,GGA,,,,2.067,2.235,1.761,1.110,0.882,0.672,0.865,0.793,1.293
OPTX,2001,GGA,,,,1.961,2.147,1.821,1.122,0.905,0.769,2.258,2.215,2.830
OPW91,2001,GGA,,,,2.042,2.237,1.794,1.095,0.892,0.699,0.765,0.697,1.156
OPZ81,2001,GGA,,,,1.896,2.308,2.044,1.037,1.030,0.885,0.858,0.856,0.923
OVWN,2001,GGA,,,,1.894,2.307,2.043,1.036,1.029,0.884,0.869,0.868,0.920
OVWN1RPA,2001,GGA,,,,1.921,2.317,2.055,1.044,1.040,0.891,1.888,1.888,1.925
¦ÓHCTH,2002,mGGA,,,,2.220,2.085,2.055,1.103,0.978,1.136,1.258,1.115,1.990
¦ÓHCTHhyb,2002,mGGA,hybrid,,,1.860,1.837,1.882,0.915,0.874,1.044,1.001,0.903,1.552
TPSS,2003,mGGA,,,,1.948,2.043,1.638,0.941,0.755,0.622,0.729,0.669,1.090
TPSSh,2003,mGGA,hybrid,,,1.903,2.045,1.605,0.898,0.715,0.575,0.796,0.732,1.186
B97-K,2004,GGA,hybrid,,,1.586,2.282,2.843,0.884,1.251,1.433,0.355,0.345,0.465
BMK,2004,mGGA,hybrid,,,1.697,1.914,3.090,0.789,1.194,1.803,1.409,1.357,1.913
CAM-B3LYP,2004,GGA,RSH,,,2.343,1.832,2.103,0.963,0.993,1.065,0.464,0.368,0.825
B97-3,2005,GGA,hybrid,,,1.624,1.847,1.880,0.755,0.861,0.877,1.073,1.009,1.554
M05,2005,mGGA,hybrid,,,1.729,2.745,5.767,1.037,1.922,3.623,0.283,0.266,0.407
M05-2X,2005,mGGA,hybrid,,,2.677,2.318,3.740,1.000,1.388,1.965,0.336,0.319,0.472
MOHLYP,2005,GGA,,,,2.246,1.552,1.231,1.190,0.939,0.578,1.395,1.255,2.171
mPWLYP1w,2005,GGA,,,,3.529,2.083,2.480,1.073,1.215,1.346,0.143,0.125,0.219
PBE1KCIS,2005,mGGA,hybrid,,,1.572,1.792,1.954,0.870,0.931,0.971,0.673,0.629,0.984
PBELYP1w,2005,GGA,,,,3.546,1.965,2.385,1.115,1.212,1.299,0.300,0.287,0.380
TPSSLYP1w,2005,mGGA,,,,2.935,2.011,1.773,0.922,0.844,0.723,0.176,0.152,0.278
X3LYP,2005,GGA,hybrid,,,2.083,1.701,1.885,0.927,0.929,0.961,0.349,0.273,0.633
B2PLYP,2006,GGA,hybrid,hybrid,,1.408,1.576,1.542,0.722,0.684,0.679,0.526,0.471,0.828
HSE06,2006,GGA,RSH,,,1.673,1.829,1.984,0.883,0.910,0.973,0.795,0.734,1.180
M06,2006,mGGA,hybrid,,,1.837,2.261,3.682,0.961,1.396,2.173,1.951,1.836,2.819
M06-2X,2006,mGGA,hybrid,,,1.496,2.139,4.214,0.806,1.433,2.305,0.245,0.233,0.355
M06-HF,2006,mGGA,exact,,,5.891,4.478,5.136,1.256,1.701,2.910,1.558,1.491,2.143
M06-L,2006,mGGA,,,,2.356,2.384,2.730,1.175,1.100,1.452,2.652,2.531,3.698
mPW2PLYP,2006,GGA,hybrid,hybrid,,1.437,1.592,1.536,0.731,0.677,0.661,0.458,0.400,0.742
TPSSm,2007,mGGA,,,,1.911,2.080,1.657,0.952,0.767,0.623,0.715,0.653,1.077
B2GP-PLYP,2008,GGA,hybrid,hybrid,,1.442,1.571,1.405,0.675,0.596,0.548,0.617,0.564,0.941
M08-HX,2008,mGGA,hybrid,,,2.661,2.550,3.700,1.286,1.801,2.295,0.546,0.453,0.897
M08-SO,2008,mGGA,hybrid,,,2.670,2.840,4.784,1.296,2.115,3.155,0.292,0.245,0.484
PBEsol,2008,GGA,,,,2.634,2.180,1.894,1.189,1.142,0.816,1.610,1.505,2.344
SOGGA,2008,GGA,,,,2.554,2.122,1.879,1.214,1.165,0.819,1.811,1.712,2.572
¦ØB97,2008,GGA,RSH,,,2.311,2.833,2.838,1.204,1.344,1.436,2.443,2.258,3.620
¦ØB97X,2008,GGA,RSH,,,2.075,2.415,2.490,1.056,1.150,1.247,3.340,3.131,4.798
revTPSS,2009,mGGA,,,,1.969,2.049,1.585,0.966,0.716,0.602,0.975,0.895,1.456
¦ØB97X-2-LP,2009,GGA,RSH,hybrid,,2.144,1.796,2.252,0.793,0.944,1.174,1.556,1.467,2.212
¦ØB97X-2-TQZ,2009,GGA,RSH,hybrid,,1.694,1.818,1.941,0.785,0.834,0.923,1.302,1.229,1.843
XYG3,2009,GGA,hybrid,hybrid,xDH,1.144,1.221,1.031,0.491,0.408,0.351,0.409,0.342,0.684
LS1DH-PBE,2011,GGA,hybrid,hybrid,,1.572,1.614,1.241,0.667,0.502,0.365,0.935,0.881,1.336
M11,2011,mGGA,RSH,,,4.414,3.252,5.614,1.573,2.694,4.242,0.626,0.595,0.824
M11-L,2011,mGGA,,,,6.830,8.470,16.268,4.115,5.945,9.038,3.198,2.909,4.859
PBE0-DH,2011,GGA,hybrid,hybrid,,1.652,1.701,1.480,0.756,0.654,0.580,0.877,0.813,1.290
PTPSS-D3Zero,2011,mGGA,hybrid,hybrid,,1.316,1.531,1.573,0.643,0.681,0.726,0.660,0.620,0.945
PWPB95-D3Zero,2011,mGGA,hybrid,hybrid,,1.369,1.631,1.628,0.647,0.717,0.739,0.468,0.439,0.680
SOGGA11,2011,GGA,,,,4.971,3.669,3.792,1.823,1.932,2.752,0.638,0.627,0.827
SOGGA11X,2011,GGA,hybrid,,,1.540,2.238,2.842,0.932,1.172,1.286,0.812,0.757,1.191
XYGJ-OS,2011,GGA,hybrid,hybrid,xDH,0.908,0.733,0.674,0.505,0.463,0.267,0.567,0.468,0.945
APFD,2012,GGA,hybrid,,,1.667,1.781,1.813,0.858,0.856,0.864,0.780,0.715,1.170
MN12-L,2012,mGGA,,,,3.908,4.986,8.995,2.392,3.296,5.741,4.823,4.413,7.373
MN12-SX,2012,mGGA,RSH,,,3.417,4.575,13.004,2.006,2.947,7.159,4.431,3.956,7.063
MS0,2012,mGGA,,,,2.036,2.131,1.890,0.987,0.851,0.788,0.906,0.822,1.376
N12,2012,GGA,,,,6.308,6.387,6.709,2.249,2.723,3.276,5.691,4.842,9.714
N12-SX,2012,GGA,RSH,,,5.013,6.326,6.970,1.582,2.500,3.890,4.215,3.763,6.654
PBE0-2,2012,GGA,hybrid,hybrid,,1.550,1.597,1.211,0.644,0.478,0.334,0.945,0.893,1.338
xDH-PBE0,2012,GGA,hybrid,hybrid,xDH,0.907,0.898,0.669,0.404,0.286,0.192,0.415,0.361,0.656
DSD-BLYP-D3BJ,2013,GGA,hybrid,hybrid,,1.413,1.530,1.319,0.645,0.549,0.483,0.643,0.595,0.960
DSD-PBEB95-D3BJ,2013,mGGA,hybrid,hybrid,,1.367,1.504,1.313,0.600,0.562,0.510,0.668,0.636,0.933
DSD-PBEP86-D3BJ,2013,GGA,hybrid,hybrid,,1.433,1.540,1.303,0.649,0.529,0.457,0.886,0.835,1.249
DSD-PBEPBE-D3BJ,2013,GGA,hybrid,hybrid,,1.379,1.437,1.194,0.617,0.508,0.427,0.725,0.681,1.038
lrc-XYG3,2013,GGA,hybrid,RSH,xDH,1.144,1.220,1.031,0.494,0.408,0.350,0.409,0.342,0.684
MS1,2013,mGGA,,,,2.030,2.153,1.963,0.997,0.891,0.851,0.952,0.866,1.442
MS2,2013,mGGA,,,,1.928,2.125,1.997,0.937,0.893,0.877,0.707,0.633,1.089
revB3LYP,2013,GGA,hybrid,,,2.167,1.599,1.738,0.946,0.913,0.911,0.622,0.543,1.009
revPBE0-DH,2013,GGA,hybrid,hybrid,,1.723,1.892,1.660,0.793,0.714,0.642,0.740,0.677,1.112
TPSS0-DH,2013,mGGA,hybrid,hybrid,,1.830,1.919,1.413,0.771,0.570,0.398,0.947,0.878,1.393
PBE-QIDH,2014,GGA,hybrid,hybrid,,1.597,1.635,1.286,0.693,0.534,0.407,0.924,0.866,1.332
TPSS-QIDH,2014,mGGA,hybrid,hybrid,,1.709,1.789,1.299,0.710,0.507,0.324,0.966,0.905,1.395
PBE-CIDH,2015,GGA,hybrid,hybrid,,1.638,1.681,1.422,0.740,0.620,0.532,0.888,0.825,1.301
TPSS-CIDH,2015,mGGA,hybrid,hybrid,,1.799,1.885,1.382,0.758,0.554,0.378,0.951,0.884,1.394
MN15,2016,mGGA,hybrid,,,5.252,10.331,23.795,2.352,6.596,12.999,1.161,1.119,1.579
MN15-L,2016,mGGA,,,,3.857,8.511,21.820,2.444,5.583,11.766,4.544,4.177,6.812
SOS0-PBE0-DH,2016,GGA,hybrid,hybrid,,1.605,1.657,1.454,0.737,0.645,0.577,0.792,0.729,1.180
SOS0-PBE-QIDH,2016,GGA,hybrid,hybrid,,1.505,1.551,1.234,0.659,0.517,0.402,0.727,0.671,1.077
revM06-L,2017,mGGA,,,,2.389,2.319,3.782,1.346,1.128,2.035,2.578,2.447,3.625
revM06,2018,mGGA,hybrid,,,1.505,2.002,3.036,0.946,1.300,1.744,1.287,1.213,1.847
RSX-QIDH,2018,GGA,RSH,hybrid,,1.637,1.640,1.269,0.730,0.535,0.393,1.152,1.080,1.651
revM11,2019,mGGA,RSH,,,3.787,3.772,7.532,1.464,2.683,4.319,0.402,0.401,0.451
RSCAN,2019,mGGA,,,,2.049,2.086,1.860,0.977,0.849,0.810,1.908,1.796,2.742
RSX-0DH,2019,GGA,RSH,hybrid,,1.708,1.676,1.411,0.807,0.649,0.542,1.187,1.089,1.765
¦ØB2GP-PLYP,2019,GGA,RSH,hybrid,,1.490,1.573,1.385,0.735,0.590,0.527,0.858,0.785,1.291
¦ØB2PLYP,2019,GGA,RSH,hybrid,,1.479,1.574,1.504,0.807,0.677,0.647,0.826,0.738,1.284
M06-SX,2020,mGGA,RSH,,,1.700,2.434,3.617,1.003,1.499,2.052,2.035,1.991,2.618
R2SCAN,2020,mGGA,,,,2.099,2.099,1.851,1.004,0.854,0.807,2.097,1.975,3.009
revXYG3,2021,GGA,hybrid,hybrid,xDH,1.048,1.113,0.876,0.433,0.336,0.240,0.374,0.307,0.631
revXYGJ-OS,2021,GGA,hybrid,hybrid,xDH,0.712,0.500,0.320,0.375,0.281,0.151,0.547,0.486,0.862
RS-B88-LYP,2021,GGA,RSH,RSH,,1.493,1.577,1.516,0.745,0.694,0.663,0.745,0.716,1.054
RS-PBE-P86,2021,GGA,RSH,RSH,,1.581,1.648,1.497,0.724,0.649,0.591,0.936,0.892,1.339
RS-PBE-PBE,2021,GGA,RSH,RSH,,1.557,1.540,1.349,0.733,0.643,0.551,0.928,0.890,1.305
RS-PW91-PW91,2021,GGA,RSH,RSH,,1.539,1.569,1.417,0.721,0.651,0.588,0.852,0.819,1.188
SOS-RSX-PBE0-DH,2021,GGA,RSH,hybrid,,1.671,1.644,1.394,0.792,0.642,0.541,1.114,1.018,1.668
SOS-RSX-PBE-QIDH,2021,GGA,RSH,hybrid,,1.552,1.564,1.223,0.696,0.519,0.389,0.962,0.893,1.401
¦ØB88PP86,2021,GGA,RSH,hybrid,,1.545,1.674,1.422,0.706,0.570,0.500,1.172,1.103,1.652
¦ØPBEPP86,2021,GGA,RSH,hybrid,,1.532,1.648,1.352,0.662,0.527,0.433,0.869,0.799,1.274
XYG5,2021,GGA,hybrid,hybrid,xDH,0.924,0.803,0.520,0.411,0.263,0.144,0.623,0.564,0.958
XYG6,2021,GGA,hybrid,hybrid,xDH,0.901,0.665,0.445,0.442,0.356,0.221,0.633,0.554,1.007
XYG7,2021,GGA,hybrid,hybrid,xDH,1.586,1.463,1.377,0.861,1.005,0.769,1.317,1.155,2.093
XYGJ-OS5,2021,GGA,hybrid,hybrid,xDH,0.771,0.996,1.032,0.532,0.696,0.557,0.826,0.729,1.298
CASE21,2022,GGA,hybrid,,,1.632,1.821,1.913,0.863,0.887,0.890,0.471,0.390,0.780
GAS22,2022,mGGA,RSH,,,2.037,2.507,2.388,0.969,1.019,1.017,0.782,0.641,1.312
r++SCAN,2022,mGGA,,,,2.056,2.086,1.857,0.981,0.851,0.810,1.966,1.851,2.822
R2SCAN0,2022,mGGA,hybrid,,,2.059,2.059,1.689,0.916,0.741,0.647,1.893,1.779,2.730
R2SCAN50,2022,mGGA,hybrid,,,2.021,2.033,1.564,0.908,0.659,0.499,1.687,1.580,2.449
R4SCAN,2022,mGGA,,,,2.077,2.112,1.879,1.000,0.869,0.823,2.096,1.973,3.018
R4SCAN0,2022,mGGA,hybrid,,,2.043,2.069,1.710,0.908,0.750,0.658,1.893,1.777,2.737
